"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/07/01 7:23:54 pm EEST","Uber","Pig n Paradise","Pig n Paradise","","","23"
"2023/07/01 7:25:08 pm EEST","Uber","Margie","","","","16"
"2023/07/01 7:25:31 pm EEST","Uber","Spud","","","","16"
"2023/07/01 7:40:15 pm EEST","Mr Delivery","Margie;Mish-Mash;Sausage Party;Spud","","","Extra mozarella instead of goats cheese","20"
"2023/07/01 7:41:27 pm EEST","Uber","Champ;Pig n Paradise","Pig n Paradise","","","10"
"2023/07/01 7:42:26 pm EEST","Collect","Pig n Paradise","","","","15"
"2023/07/01 7:54:59 pm EEST","Mr Delivery","Vegan Harvest;Build Your Own","","","+parmesan, bacon, sliced chorizo","27"
"2023/07/01 7:58:51 pm EEST","","Vegan Harvest;Mushroom Cloud","","","Bacon in harvest","15"
"2023/07/01 8:02:47 pm EEST","Uber","Champ;Pig n Paradise;Mushroom Cloud","","","","13"
"2023/07/01 8:08:40 pm EEST","Collect","Champ;Pig n Paradise","Champ;Pig n Paradise","","","15"
"2023/07/01 8:23:34 pm EEST","Uber","Mish-Mash;Mushroom Cloud","","","","18"
"2023/07/01 8:33:04 pm EEST","Uber","Pig n Paradise","","","","16"
"2023/07/01 8:57:45 pm EEST","Uber","Margie;Pig n Paradise","","","","15"
"2023/07/01 9:01:28 pm EEST","Uber","Margie","","","","12"
"2023/07/01 9:05:50 pm EEST","Uber","Champ","","","","15"
"2023/07/01 9:22:31 pm EEST","Staff member","Pig n Paradise","","","","10"
"2023/07/02 1:58:27 pm EEST","Uber","Champ","","","","15"
"2023/07/02 1:59:05 pm EEST","Mr Delivery","Margie;Feisty Italian","","","","15"
"2023/07/02 2:11:00 pm EEST","Window","Margie","Margie","Margie","","15"
"2023/07/02 2:12:36 pm EEST","Uber","Champ;Mish-Mash;Mushroom Cloud","","","","16"
"2023/07/02 2:55:53 pm EEST","Uber","Champ;Pig n Paradise;Zesty Zucchini","","","","16"
"2023/07/02 3:59:50 pm EEST","Uber","Champ;Mushroom Cloud;Zesty Zucchini","","","","15"
"2023/07/02 4:08:13 pm EEST","Uber","Champ;Mushroom Cloud","","","",""
"2023/07/02 4:39:29 pm EEST","Uber","Mushroom Cloud;Spud","","","","16"
"2023/07/02 5:00:08 pm EEST","Uber","Margie;Vegan Harvest;Spud","","","","17"
"2023/07/02 5:47:15 pm EEST","Uber","Margie","","","","13"
"2023/07/02 6:04:49 pm EEST","Uber","Margie;Pig n Paradise","","","","15"
"2023/07/02 6:05:39 pm EEST","Uber","Margie;Vegan Harvest;Spud","","","","15"
"2023/07/02 6:24:18 pm EEST","Uber","Margie","","","","10"
"2023/07/02 6:24:41 pm EEST","Uber","Pig n Paradise","","","","15"
"2023/07/02 7:01:00 pm EEST","Uber","Champ","","","",""
"2023/07/02 7:01:52 pm EEST","Uber","Mish-Mash;Sausage Party","","","","15"
"2023/07/02 7:18:09 pm EEST","Uber","Champ","","","","15"
"2023/07/02 7:40:59 pm EEST","Window","Margie;Mushroom Cloud","Margie","Margie","","14"
"2023/07/02 7:48:03 pm EEST","Uber","Champ;Mushroom Cloud","","","","14"
"2023/07/02 7:48:33 pm EEST","Uber","Champ;Pig n Paradise;Mushroom Cloud","","","","12"
